iter	Passed	Remaining
0	170	170815
1	172	86011
2	173	57651
3	174	43445
4	175	35018
5	178	29501
6	179	25431
7	180	22400
8	181	20026
9	183	18126
10	184	16626
11	186	15323
12	187	14252
13	190	13407
14	191	12586
15	192	11866
16	194	11249
17	196	10695
18	197	10204
19	198	9733
20	200	9344
21	201	8963
22	202	8602
23	203	8285
24	205	8013
25	206	7732
26	207	7487
27	208	7249
28	210	7031
29	211	6825
30	212	6657
31	214	6477
32	215	6321
33	216	6157
34	217	6010
35	219	5889
36	221	5752
37	222	5634
38	224	5520
39	224	5397
40	226	5289
41	227	5178
42	228	5076
43	229	4976
44	230	4891
45	231	4809
46	233	4727
47	234	4660
48	236	4585
49	237	4505
50	237	4426
51	238	4350
52	239	4282
53	241	4234
54	243	4181
55	244	4129
56	246	4073
57	248	4030
58	250	3989
59	251	3937
60	252	3885
61	253	3837
62	255	3792
63	256	3747
64	257	3705
65	258	3661
66	259	3618
67	260	3570
68	261	3530
69	263	3496
70	264	3460
71	265	3424
72	266	3389
73	268	3355
74	269	3320
75	270	3289
76	271	3257
77	273	3232
78	274	3202
79	276	3177
80	277	3147
81	278	3121
82	280	3097
83	281	3072
84	282	3042
85	284	3019
86	284	2989
87	286	2964
88	287	2942
89	288	2919
90	289	2894
91	291	2873
92	292	2850
93	293	2831
94	294	2808
95	296	2787
96	296	2763
97	297	2742
98	299	2721
99	300	2703
100	301	2686
101	302	2665
102	304	2649
103	305	2632
104	306	2613
105	308	2599
106	309	2581
107	310	2565
108	312	2557
109	314	2543
110	315	2530
111	317	2514
112	318	2498
113	319	2486
114	321	2471
115	322	2455
116	324	2445
117	325	2434
118	327	2420
119	328	2407
120	329	2394
121	330	2380
122	331	2363
123	332	2350
124	333	2335
125	334	2323
126	336	2311
127	337	2296
128	338	2287
129	340	2276
130	341	2263
131	342	2250
132	343	2240
133	345	2230
134	346	2218
135	347	2208
136	348	2197
137	349	2185
138	351	2175
139	352	2165
140	353	2156
141	355	2148
142	356	2139
143	358	2130
144	359	2120
145	360	2109
146	362	2101
147	363	2092
148	364	2082
149	365	2073
150	367	2063
151	368	2055
152	369	2047
153	371	2038
154	372	2030
155	373	2022
156	375	2016
157	377	2009
158	378	2000
159	379	1993
160	381	1985
161	382	1978
162	383	1971
163	385	1963
164	386	1956
165	388	1949
166	389	1941
167	390	1935
168	391	1927
169	393	1920
170	394	1912
171	396	1906
172	397	1899
173	398	1892
174	399	1885
175	401	1879
176	402	1873
177	404	1866
178	405	1859
179	406	1853
180	407	1844
181	408	1837
182	410	1831
183	412	1827
184	413	1820
185	414	1814
186	415	1808
187	417	1801
188	418	1797
189	420	1792
190	421	1786
191	422	1779
192	424	1773
193	425	1768
194	426	1761
195	428	1756
196	429	1750
197	431	1748
198	432	1742
199	434	1736
200	435	1732
201	437	1726
202	438	1722
203	440	1718
204	441	1713
205	443	1708
206	445	1705
207	446	1700
208	448	1696
209	449	1690
210	450	1684
211	451	1679
212	453	1674
213	454	1669
214	455	1664
215	457	1658
216	458	1653
217	459	1647
218	460	1642
219	461	1636
220	463	1634
221	464	1629
222	466	1624
223	467	1619
224	469	1615
225	470	1610
226	471	1606
227	472	1600
228	474	1596
229	475	1591
230	476	1586
231	477	1581
232	479	1577
233	480	1572
234	481	1567
235	483	1563
236	484	1559
237	485	1554
238	486	1550
239	488	1545
240	489	1541
241	490	1537
242	492	1532
243	493	1528
244	494	1524
245	495	1520
246	497	1516
247	498	1512
248	499	1507
249	501	1503
250	502	1498
251	503	1494
252	504	1490
253	505	1486
254	507	1482
255	508	1478
256	510	1474
257	511	1471
258	513	1467
259	514	1463
260	515	1460
261	516	1455
262	517	1451
263	519	1447
264	520	1443
265	521	1440
266	523	1436
267	524	1431
268	525	1427
269	526	1423
270	527	1419
271	528	1415
272	530	1411
273	531	1408
274	532	1405
275	534	1401
276	535	1398
277	537	1394
278	538	1391
279	539	1387
280	541	1384
281	542	1381
282	544	1378
283	546	1377
284	547	1374
285	549	1370
286	550	1367
287	551	1364
288	553	1361
289	555	1358
290	556	1355
291	557	1352
292	559	1349
293	560	1346
294	562	1344
295	563	1340
296	565	1338
297	566	1334
298	567	1331
299	569	1328
300	570	1324
301	571	1322
302	573	1319
303	574	1315
304	575	1312
305	577	1308
306	578	1305
307	579	1303
308	581	1299
309	582	1296
310	583	1293
311	585	1291
312	586	1288
313	588	1284
314	589	1281
315	590	1278
316	592	1275
317	593	1272
318	594	1269
319	596	1266
320	597	1263
321	598	1260
322	599	1257
323	601	1254
324	602	1251
325	604	1249
